source,category,action,destination,note
/fantasy/fantasy-football-monday-recap-week-13,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-monday-week-12-recap,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-monday-week-14-recap,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-players-to-avoid-in-week-15,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-players-to-start-in-week-15,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-players-to-watch-in-week-12,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-players-to-watch-in-week-13,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-footballs-most-shocking-stats-from-2018,misc,review,,manual review — does not match WP-style pattern
/fantasy/fun-and-easy-ways-to-improve-your-league-this-season,misc,review,,manual review — does not match WP-style pattern
/fantasy/gio-bernard-leads-the-list-of-waiver-targets-in-week-three,misc,review,,manual review — does not match WP-style pattern
/fantasy/info-quick-hits-whats-important-and-what-isnt-in-recent-fantasy-updates,misc,review,,manual review — does not match WP-style pattern
/fantasy/kickers-are-people-too-just-not-in-fantasy-football-at-least-they-shouldnt-be,misc,review,,manual review — does not match WP-style pattern
/fantasy/leonard-fournette-could-be-on-his-way-out-in-jacksonville,misc,review,,manual review — does not match WP-style pattern
/fantasy/make-or-break-royce-freeman-set-to-break-out-in-a-major-way,misc,review,,manual review — does not match WP-style pattern
/fantasy/make-or-break-tarik-cohen-goes-berserk-in-the-desert,misc,review,,manual review — does not match WP-style pattern
/fantasy/make-or-break-the-lions-stink-irl-but-have-some-great-fantasy-players,misc,review,,manual review — does not match WP-style pattern
/fantasy/mock-drafting-is-the-most-important-thing-you-can-do-this-season,misc,review,,manual review — does not match WP-style pattern
/fantasy/nfl-matchup-breakdowns-week-13-part-1,misc,review,,manual review — does not match WP-style pattern
/fantasy/nfl-matchup-breakdowns-week-13-part-2,misc,review,,manual review — does not match WP-style pattern
/fantasy/players-that-are-going-way-too-early-in-fantasy-drafts-this-year,misc,review,,manual review — does not match WP-style pattern
/fantasy/rankings-including-the-top-192-players-and-dst-in-fantasy-for-2018,misc,review,,manual review — does not match WP-style pattern
/fantasy/running-back-rankings-for-the-first-three-rounds,misc,review,,manual review — does not match WP-style pattern
/fantasy/start-and-sit-week-1-cameron-meredith-to-shine-in-debut,misc,review,,manual review — does not match WP-style pattern
